@id,@lat,@lon,name
10817755424,23.4774317,93.3154588,Champhai Police Station
10824034339,26.3227932,94.089834,Merapani Police Station
10947365834,26.7588761,94.2089182,SP Office
11027613505,25.2150877,93.0164726,5th Assam Police Battalion
11116277110,26.2292919,92.5207528,Raha Police Station
11285583169,26.9590547,93.5902534,Hollongi Police Checkpoint
11356011425,27.0997556,95.160483,SPK.PS
11357598691,26.8122906,94.5208764,Amguri Police Station
11804475514,25.5200322,90.2193689,Chandmari Police Station
11976551293,24.7421722,93.154748,Leishabithol police outpost
11998862676,24.7955159,93.1714959,Leingangpokpi outpost
12334028339,24.6108239,93.0914785,Borobekra police station
12350533310,25.8399514,93.4286056,diphu police thana
12350533316,25.8347299,93.4308905,police reserve playground
12473296804,24.9136989,94.1290783,Yaingangpokpi PS
12558481702,25.5145013,94.1360744,Tourist Registration Checkpoint
12784886719,24.7590345,93.346961,
12973082004,26.1728706,91.7633521,"state police accountability commission, assam"
13069700300,23.4680239,93.3112747,
13070320725,23.3944097,93.3750913,PAP permit checkpoint
13081510840,23.5335947,93.1702832,
13091853574,24.5123547,92.7737811,
13312469701,27.2282284,94.0941769,Khelmati Town Police Outpost
13328594151,25.0066271,94.0205624,Leitanpokpi police station
13370683984,24.2929714,93.8771735,Sugnu Subdivisional Police Station
13449329721,28.9636535,95.8083723,Mipi Post ITBPF
13450247297,27.9676052,95.7541968,Shantipur Police Outpost
13511238160,26.1899395,91.7519146,Latasil Police Station
13522423677,26.1825586,91.7372664,Fancy bazaar police out post
13522626388,26.1900236,91.7519449,Latasil Police Station
13874710311,24.9514629,94.2029407,Litan Police Station
262879659,26.3240899,94.5187652,PS-2
281318863,25.5793727,91.8818236,Shillong Sadar Police Station
357361565,27.1074543,93.6935107,Police Station
358944931,26.755071,94.2113829,Jorhat People Friendly Police Station
366032111,24.806591,93.9592327,Porompat Police Station
388929564,24.8234385,92.8022112,Sadar Thana
429819605,22.5391393,92.8981433,"Office of the Superintendent of Police, Lawngtlai"
429819607,22.5397165,92.8973573,Superintendent of Police Complex
439120179,22.5324833,92.895893,Lawngtlai Police Station
439120180,22.5322143,92.8962648,Wireless Telephony Station cum Police Canteen
557825116,25.1838258,92.0319344,Border Security Force
618206226,27.7746043,95.0618891,13th APBN
740874466,25.6757476,94.1093156,North Police Station
740874628,25.6639397,94.0988227,SP Office
745209590,25.5693825,91.8992839,Laitumkhrah Police Station
749313307,26.5103061,93.9743835,Assam Police Quarters
749313308,26.5107153,93.9738617,City Police Station
837320495,26.4978526,90.9693147,Barpeta Road Police Thana
852609598,25.7525058,93.1752463,Lumding Police Station
932827985,26.4962567,90.7047794,
936547379,25.2940485,91.5775913,
1042225103,27.6582245,94.7042851,Likabali Police Station
1046918577,27.5858897,94.7265111,Silapathar Police Station
1094344545,24.868922,92.3563602,S.P. Office Karimganj.
1096522181,24.7999296,93.9406819,IMPHAL POLICE STATION
1096522182,24.7998245,93.9406397,SP IMPHAL WEST
1096522183,24.7997157,93.9408015,DIGP(R-I) OFFICE
1101790973,26.5889665,93.4009509,
1111567635,27.4879365,95.3569433,
1217672059,27.0108247,92.6460745,
1223794667,26.3252045,94.5245174,Nagaland Police
1223794669,26.3257254,94.5244724,Superintendent of Police Office
1245640790,26.6534925,94.3189656,
1248084698,26.3903774,90.0758934,Tulisibil Police Out Post
1335030804,26.1180392,91.9705295,sonapur police station
1335312252,27.1811539,95.0901381,
1467793957,24.2392692,94.2992404,Integrated Check Post Moreh (Moreh ICP)
