osm_id,name,lat,lon
6908120519,Sikkim Manipal Institute of Medical Sciences,27.3174225,88.5975802
6908213058,R.P. Chest Hospital,25.5771305,91.8662676
6908445869,"Metro Hospital, Dimapur",25.9140329,93.716442
6909772443,Tura Civil Hospital(DH),25.5147491,90.2037942
6909772449,Dr. H. Gordon Robert Hospital (Khasi-Jaintia Presbyterian),25.584894,91.8751504
6909859202,"Nazareth Hospital, Kolasib",24.2334996,92.6740779
6909859216,"CHC, Vairengte",24.5079987,92.7664854
6909859217,"District Hospital,Kolasib",24.2314023,92.6766193
6909859223,"PHC, Rawpuichhip",23.7841698,92.5601256
6909859294,Greenwood Hospital,23.7555439,92.7310816
6909859305,"Sub-District Hospital,Saitual",23.6821385,92.9630148
6909859395,"District Hospital, Serchhip",23.3078982,92.8556728
6909859417,"Christian Hospital, Lawngtlai",22.5356749,92.8981758
6909859429,"District Hospital, Siaha",22.4883875,92.9828605
6909859499,"District Hospital, Mamit",23.909285,92.4947387
6909859505,"CHC, Sakawrdai",24.2261924,92.9522659
6909859524,Alpha Hospital,23.7093053,92.7195313
6909859549,Nazareth Hospitals,23.7489767,92.7224247
6909859597,"State Referral Hospital,Falkawn",23.6242176,92.7281633
6911254756,Maraland Gospel Centenary Hospital,22.4890083,92.9796365
6911271597,"Lcmc Hospital, Lawngtlai",22.5394646,92.8858672
6911271631,"Adventist Hospital,Vaivakawn",23.7368296,92.7101871
6911271636,Bethesda Hospital,23.7504614,92.726619
6911271641,Presbyterian Hospital,23.687823,92.8594648
6911715898,Chilarai Hospital & Research Centre,26.4656509,90.5629715
6911715903,Lower Assam Hospital And Research Centre,26.4929099,90.5515413
6911715904,Swagat Hospital And Research Centre,26.4830828,90.5529092
6911715909,S.M. Hospital and Diagnostic Centre,26.4894843,90.5510893
6911715914,"R.N.B. Civil Hospital, Gossaigaon",26.4530899,89.9763791
6911715919,Nongstoin District Hospital,25.5195842,91.2681726
6911724111,Tolaram Bafna Kamrup District Civil Hospital,26.2074223,91.6771799
6911724131,Sristi Hospitals And Research Centre Pvt Ltd,27.4930354,94.9279489
6913038500,HGM Nursing Home,26.5106294,93.965819
6913038505,Aruna Memorial Hospital,26.1658526,91.7691153
6913038510,Dr Bhubaneswar Borooah Cancer Institue,26.1653519,91.7470568
6913038537,Nightingale Hospital,26.1504675,91.7821106
6913038542,"Hayat Hospital, Kamrup",26.1390895,91.7463206
6913038543,Solace Hospital and Research Centre,26.1646874,90.6248474
6913038544,Seven Sisters Hospital & Research Centre,26.1508208,90.6181942
6913038550,Dr. Dhani Ram Baruah Heart Institute and Research Centre,26.1254312,91.9388831
6913038555,"Sun Valley Hospital, Guwahati",26.1382811,91.8010202
6913038569,Haji Abdul Majid Memorial Hospital and Research Centre,26.0158947,92.8684401
6913054603,North East Cancer Hospital And Research Institute,26.1007508,91.8699154
6913054638,Arya Hospital (A Unit Of North Eastern Medical Research Institute Ltd),26.1746258,91.7525876
6913054639,Pratiksha Hospitals,26.158658,91.8118054
6913054744,"Civil Hospital, Dhubri",26.035426,89.9644138
6913054780,Agile Hospitals Pvt Ltd,26.1221319,91.8062693
6913054785,Biroja Hospital,27.4913069,95.3517164
6913054790,"Sanjivani Hospital, Jorhat",26.7466487,94.2021123
6913054830,Satribari Christian Hospital,26.1769282,91.7465553
6913054930,Guwahati Netralaya Eye Hospital,26.1714995,91.7376155
6913054937,"KGMT Multispeciality Hospital, Hatigarh",26.1719851,91.7814441
6913054942,Guwahati Eye Hospital,26.1717757,91.7608166
6913054952,Wintrobe Hospital,26.1854972,91.7560047
6913054957,Institute Of Human Reproduction,26.1669226,91.7312439
6913054967,Marwari Hospital and Research Centre,26.1721356,91.7404117
6913054968,Midland Hospital,26.1617305,91.7798576
6913054978,City Heart Hospital,26.1724967,91.7714274
6913054985,Dispur Hospitals Pvt Ltd,26.1496128,91.7867147
6913175903,Gnrc Six-mile Hospital,26.1311817,91.8079403
6913175912,G N R C Heart Institute,26.1389733,91.7943965
6913288139,Nemcare Hospital,26.1634946,91.7683697
6913288140,Down Town Hospital Ltd.,26.1392003,91.7994256
6913288170,Gauripur Hospital,26.075063,89.9629453
6913288175,Vivekananda Kendra-Nrl Hospital,26.5914174,93.7494734
6913288176,Lifeline Hospital and Research Centre,26.5159925,93.9748279
6913288181,Titabar SDC Hospital,26.594792,94.1924442
6913293192,"Florence Hospital, Goalpara",26.1698607,90.623914
6913293197,Mid Town Hospital and Research Institute,27.2482332,94.1045107
6913293202,Sanjivani Hospital And Rcs Ltd,26.3254496,90.9986253
6913293207,Pragati Hospital And Research Centre,26.9977983,94.6198744
6913293208,Sampreeti Hospital,26.993347,94.6428274
6913293231,Skylark Hospital,26.6302423,92.7974206
6913293236,E M M Hospital And Research Centre,26.6218315,92.7955672
6913293263,"Lions Eye Hospital, Cachar",24.82903,92.793007
6913293268,"Life Line Hospital, Cachar",24.8078658,92.7950697
6913293273,H M Hospital and Research Center,27.1857364,94.913941
6913293278,"B. K Memorial Hospital, Tezpur",26.6252346,92.8004099
6913293283,East Point Hospital And Research Centre,26.9857955,94.6507171
6913293288,Rontix Hospital,27.2899028,95.6886448
6913293301,Brahmaputra Diagnostic and Hospital Ltd,27.4915127,94.9271375
6913293325,Vincenza Gerosa Hospital,27.4704798,94.9272823
6913293330,Srimanta Sankardeva Hospital And Research Institute,27.4729107,94.9111354
6913293331,Aditya Diagnostics and Hospitals,27.4915008,94.9312493
6913293371,Medicare Diagnostic And Hospital,27.4896615,94.9235326
6917894485,CHC Government Hospital,27.9815616,94.6858624
6938944732,"District Hospital, Bomdila",27.2655136,92.4201467
6969705853,Supercare Hospital,25.5608599,91.911378
6969819078,The Children's Hospital,25.5658671,91.9112432
7095155800,CHC Nungba,24.7463548,93.4250735
7095155806,Ukhrul District Hospital,25.0981451,94.3651788
7095155813,Churachandpur District Hospital,24.3429852,93.6928709
7095155828,"District Hospital, Tamenglong",24.9855683,93.5025164
7095155876,Jiribam CHC,24.8072194,93.1142523
7095155881,Parbung district Hospital,24.2571178,93.1066775
7100882236,"Mon, District Hospital",26.7238973,95.0287876
7100882241,"Tuensang, District Hospital",26.2529567,94.8178952
7100882248,"Kiphire, District Hospital",25.8826359,94.781588
7100882252,"Longleng, District Hospital",26.4929778,94.8042633
7100882264,"District Hospital, Dimapur",25.904959,93.731523
7100882272,"Zunheboto, District Hospital",26.0030617,94.5236166
7100882279,"CHC, Medziphema",25.76274,93.884455
7100882283,"Peren, District Hospital",25.5354667,93.7352403
7100882296,"Govt. Hospital, Noklak",26.2004719,95.0251042
7103971889,"District Hospital, Yingkiong",28.6417004,95.0250781
7103971893,"Government Hospital, Nampong",27.292495,96.112927
7103971896,"District Hospital, Khonsa",26.9922136,95.5008622
7118826339,Geyzing District Hospital,27.291121,88.256922
7118826340,Singtam District Hospital,27.2298217,88.4950137
7127376529,"Christian Hospital,M Kawnpui",22.332288,92.71235
7127376531,"District Hospital,Lawngtai",22.536451,92.8886349
7127376536,"CHC,Chawngte",22.6163566,92.6382886
7127376539,Vaivenga Hospital,23.7334106,92.7159388
7127376542,Aizawl Hospital & Research Centre,23.7189081,92.7175467
7127376544,Kulikawn Hospital,23.7085438,92.7154669
7127376546,"Civil Hospital,Tlabung",22.9063694,92.4698014
7127376547,Borapansury Hospital,22.7066754,92.5292909
7127376550,"Civil Hospital,Lunglei",22.8863179,92.744237
7127376552,"B.N. Hospital,Kulikawn",23.7110935,92.7193766
7127376559,Lairam Christian Medical Centre & Hospital,22.511206,92.889175
7127376561,"District Hospital,Champhai",23.481,93.309599
7127657819,"District Integrated AYUSH Hospital, Gomati",23.4848604,91.4983684
7127657820,Sub-Divsional Hospital,23.310504,91.5575974
7127657824,Gandacherra Sub Divisional Hospital,23.6050187,91.8177781
7127657825,Pecharthal Hospital,24.1903303,92.1042451
7127657835,"District Hospital, Unakoti",24.304628,92.033346
7127657836,Taksapara hospital,23.5641251,91.291481
7127657874,Sonamura Gramin Hospital,23.48445,91.263053
7127657886,District Hospital South,23.316526,91.555177
7127657901,Dhalai District Hospital,23.9551603,91.8252174
7138660278,Holy Cross Hospital,25.5179517,90.1704141
7138660279,Nongstoin Civil Hospital,25.556393,91.2290792
7138660288,"Capt. Williamson Memorial Hospital, Baghmara",25.1987267,90.6309637
7138660298,Holy Cross Private Hospital,25.560466,91.6307355
7138660307,Dr. Norman Tunnel Hospital,25.444011,92.198903
7138660313,Tura Maternity and Child Hospital(SDH),25.514655,90.219953
7138660337,Tirot Sing Memorial Hospital,25.5541791,91.6330915
7138660375,Jowai Civil Hospital,25.467945,92.260988
